category,text
gnp,"FRENCH GDP SHOULD RISE 2.3 PCT IN 1988 - MINISTRY  French gross domestic product should grow  by 2.3 pct in 1988 after two pct growth this year and 2.1 pct  in 1986, the Finance Ministry said.      The latest forecast, prepared by the National Accounts and  Budget Commission, assumed an exchange rate of 6.20 francs to  the dollar this year and next and an average oil import price  rising to 18.9 dlrs a barrel next year from 17.4 dlrs this year  and 14.7 in 1986.      The Commission, headed by Finance minister Edouard  Balladur, forecast a fall in consumer price inflation to two  pct year-on-year at end-1988 from 2.4 pct at end 1987 and 2.1  pct last year.      In annual average terms inflation would fall to two pct in  1988 from 2.5 pct this year and 2.7 pct last year, it said.      Trade should show a one billion franc annual surplus this  year and next after last year's 0.5 billion surplus, it added.      Employment should rise by 0.1 pct a year over the next two  years while the state budget deficit should be cut to 2.2 pct  of GDP in 1988 from 2.6 pct this year and 2.9 pct in 1986.      Other forecasts prepared by the Commission indicated a 1.8  pct 1988 rise in household purchasing power, up from 1.1 pct  this year but less than last year's 2.9 pct, and a 1.6 pct rise  in household consumption, compared with this year's 1.5 pct and  last year's 2.9 pct.      Business investment is forecast to rise four pct a year  this year and next after 3.7 pct last year, with private sector  productive investment rising 4.9 pct in 1988 after a six pct  rise this year and 5.5 pct in 1986.      The Ministry said updated forecasts would be prepared  before the autumn to serve as the basis for the 1988 budget,  which the government is now preparing for presentation in  September.  "
gnp,"SWISS 1988 INFLATION SEEN AT TWO PCT - INSTITUTE  Swiss inflation is likely to rise in 1987  and 1988 because of inflationary tendencies in the domestic  economy, the Centre for Economic Research of the Federal  Institute of Technology said in its spring review.      It forecast a rise in consumer prices of two pct in 1988  compared with 1.3 pct in 1987. Low import prices in 1986 helped  to keep annual inflation down to 0.8 pct.      The centre said that in general the outlook for the Swiss  economy in 1987 and 1988 remained favourable, despite the more  difficult international economic climate facing export  industry.      The centre repeated its previous forecast that growth in  Swiss domestic product would slow to 2.2 pct in 1987 from 2.5  pct in 1986. It revised its forecast for 1988 GDP growth to 1.7  pct from 1.6 pct in its last autumn review.      Domestic demand will continue to replace exports as the  motor of economic growth. Private consumption will grow by  three pct in 1987 and two pct in 1988 against 3.75 pct in 1986.      Growth in goods exports will slow to 1.75 pct in 1987 from  2.1 pct in 1986 but pick up slightly to 2.5 pct in 1988. All  three figures are well below the Swiss average for recent  years. In 1985, for example, exports increased by 9.1 pct.      The centre said the strength of the Swiss franc, which has  firmed sharply in recent months, would continue to put pressure  on Swiss exporters.      It forecast that imports of goods would grow by a more  modest 4.5 pct in 1987 and 3.25 pct in 1988 than in 1986, when  import prices fell substantially and imports rose by 8.2 pct.      Industrial production will grow by 1.6 pct in 1987 and 1.2  pct in 1988 compared with 4.2 pct in 1986.  "
gold,"U.S. DOLLAR LOSSES PROPEL BROAD COMMODITY GAINS  Commodities from gold to grains to  cotton posted solid gains in a flurry of buying today as losses  in the U.S. dollar and rising interest rates kindled fears of  inflation and economic instability.      Gains were most pronounced on the Commodity Exchange in New  York, where gold jumped 12.40 dlrs and closed at 436.50 dlrs a  troy ounce, and silver 22.5 cents to 6.86 dlrs a troy ounce.      A key factor behind the advance was anticipation that  inflation will be the only way for the major industrial nations  to halt the slide in the value of the U.S. dollar, said Steve  Chronowitz, director of commodity research with Smith Barney,  Harris Upham and Co., in New York.      The dollar tumbled one day after top finance officials from  the seven largest industrial nations reaffirmed their  commitment to support its value, and despite reports of  intervention by the U.S. Federal Reserve Bank, traders said.      Traders said it appears that the industrial nations, known  as the Group of Seven, lack the ability to change the long-term  direction of the currency markets.      ""Maybe they have some ideas or plans,"" said Chronowitz. ""If  they do, it's not evident.""      ""It looks like there's no cure but to let the free market  take values to where they should be.      ""One way or another, we will force our major trading  partners to stimulate their economies,"" as a measure to correct  the mounting U.S. trade deficit, Chronowitz said.      ""I think the markets believe, and have believed for a long  time, that the only recourse is to reflate at some point. It's  going to be a long and tedious process, but that's what's  happening,"" he said.      The falling value of the dollar makes U.S. commodities  cheaper for foreign buyers, stimulating demand.      At the same time, traders who are holding stocks and bonds  saw the value of their investments falling and many are turning  to commodities such as precious metals as a hedge, said Marty  McNeill, a metals analyst in New York with the trading house of  Dominick and Dominick.      The reaction in the metal markets reverberated throughout  the commodities markets, as grains, livestock, and cotton  posted broad gains.      Traders at the Chicago Board of Trade said attention in the  grain markets has shifted from concern about burdensome  supplies to the outlook that a lower dollar will stimulate  export demand.      After the close of trading, the Agriculture Department  raised its estimate for grain imports by the Soviet Union by  two mln tonnes from the month-earlier report.      Live hogs and frozen pork bellies posted sharp gains on the  Chicago Mercantile Exchange, while live cattle were moderately  higher.      Analysts said several factors boosted hog prices. They said  hogs haven't been making the weight gains that are normal at  this time of year, and farmers have been too busy with field  work to market animals.  "
gold,"BP &lt;BP> UNIT SEES MINE PROCEEDING  British Petroleum Co PLC said based on  a feasibility report from &lt;Ridgeway Mining Co>, its joint  venture Ridgeway Project in South Carolina could start  commercial gold production by mid-1988.      The company said the mine would produce at an approximate  rate of 158,000 ounces of gold per year over the first four  full years of operation from 1989 through 1992 and at an  average of 133,000 ounces a year over the full projected  11-year life of the mine.      BP's partner in the venture is Galactic Resources Ltd  &lt;GALCF> of Toronto.      The company said subject to receipt of all statutory  permits, finalization of financing arrangements and management  and joint venture review, construction of a 15,000 short ton  per day processing facility can start.  Capital costs to bring  the mine into production are estimated at 76 mln dlrs.  "
gnp,"AUSTRALIA'S KEATING CHANGES ECONOMIC FORECASTS  Domestic demand is now expected to make  no contribution to Australian economic growth in fiscal  1986/87, ending June 30, while net exports will account for all  of the overall increase, Treasurer Paul Keating said here.      However, he did not say in his speech to the Economic  Planning Advisory Council (EPAC) if the forecast 2.25 pct rise  in gross domestic product (gdp) had been revised.      But Keating said domestic demand could fall slightly this  financial year and net export growth will provide the total  source of gdp growth.      The August budget had forecast domestic demand would  contribute 0.75 percentage points to non-farm gdp growth of 2.5  pct while net exports would account for 1.75 points.      Keating said the overall impact of the changed economic  parameters is welcome as it appears to have contributed to a  slightly more rapid correction in the current account deficit  than first anticipated.      ""The government initially forecast a current account deficit  for 1986/87 of 14.75 billion -- our present expectation is that  the result will be somewhat lower, around 14 billion,"" he said.      Partial indicators released since the last meeting of EPAC  in December indicate that the 1986/87 budget strategy is  broadly on track, Keating said.      ""They indicate that domestic demand has been a little more  sluggish than was expected at budget time,"" he said.      ""On the other hand, net exports seem to be expanding by more  than expected at budget time, and this is underpinning growth  in domestic production and employment.""      Keating said it now seems likely that the 1986/87 inflation  rate will exceed the budget forecast of eight pct.      ""Nevertheless, there is likely to be a marked slowing in  inflation over coming quarters as depreciation and budgetary  effects wane,"" he said.      Keating said the government expects economic growth to pick  up moderately in 1987/88 due to a further significant rise in  net exports and a very moderate but positive contribution from  private domestic demand.      He said domestic demand growth will be due to a  strengthening in real household disposable income.      The moderate rise in economic growth next financial year  should be sufficient to sustain employment growth at a level  broadly equivalent to that of the current fiscal year.      ""The current account deficit will continue to show  improvement in 1987/88,"" Keating said.      ""As the impact of the exchange rate depreciations of recent  years recede further, and given continued effective wage  restraint, inflation should moderate markedly in 1987/88,"" he  said.  "
gold,"PEGASUS GOLD &lt;PGULF> STARTS MILLING IN MONTANA  Pegasus Gold Inc said  milling operations have started at its Montana Tunnels open-pit  gold, silver, zinc and lead mine near Helena.      The start-up is three months ahead of schedule and six mln  dlrs under budget, the company said. Original capital cost of  the mine was 57.5 mln dlrs, but came in at 51.5 mln dlrs, the  company said.      After a start-up period, the mill is expected to produce   106,000 ounces of gold, 1,700,000 ounces of silver, 26,000 tons  of zinc and 5,700 tons of lead on an annual basis from  4,300,000 tons of ore, the company said.  "
nat-gas,"WESTCOAST &lt;WTC> TO ACQUIRE AGIP PROPERTIES  Westcoast  Transmission Co Ltd said it agreed to acquire the Western  Canada oil and gas reserves and properties of AGIP Canada Ltd,  a subsidiary of AGIP SpA, part of Italy's ENI group, for 54 mln  Canadian dlrs.      At the end of 1986, AGIP Canada reported proven and  probable reserves of 4.2 mln barrels of crude oil and natural  gas liquids and 22.7 billion cubic feet of natural gas. AGIP  Canada also holds 176,000 net exploratory acres in Western  Canada. Its properties produce about 1,100 barrels of oil a  day.      The deal is subject to approval by both companies'  directors.      Westcoast said the acquisition would enable it to apply  more than 150 mln dlrs of accumulated tax pools of AGIP Canada  Ltd to enhance after-tax cash flow from the acquired  properties.      AGIP Canada said it would retain offshore exploration  blocks in Labrador, a gold mine in Yukon Territory and uranium  interests in Saskatchewan.  "
nat-gas,"STANDARD &lt;SRD>,MOBIL &lt;MOB>PLAN OFFSHORE PLATFORM  Standard Oil Co said a contract has  been awarded to &lt;CBS Engineering Inc> for a drilling and  production platform to be installed in Ewing Bank Block 826 in  the Gulf of Mexico where Standard and Mobil Corp each own a 40  pct interest.      Standard said its Standard Oil Production Co subsidiary  will operate the platform which is being designed to produce  15,000 barrels of oil and 50 mln cubic feet of gas daily. The  platform is now expected to be installed in the summer of 1988.  Other owners are Kerr-McGee Corp &lt;KMG> with 16.66 pct and  &lt;Prudential Insurance Co of America> with  3.34 pct.  "
gold,"SYNGOLD DEFINES RESERVES ON DEKA PROPERTY  &lt;Syngold Exploration Inc> and &lt;Corp  Falconbridge Copper> said they defined undiluted reserves of  911,000 tons of ore with an average grade of 0.43 ounces of  gold per ton in two separate deposits on the Deka property  located at Noranda, Quebec.      Assay results from 20 suface holes drilled on 250 foot  centers indicate that the Donalda number one deposit contains  possible reserves of 611,000 tons at an average grade of 0.48  ounces of gold per ton.      The number one deposit's reserves are contained between a  vertical depth of 750 and 1200 feet at a strike length of 900  feet.      Reserves of the Donalda number-two deposit, located 1,000  feet below the number-one deposit, were recalculated at 300,000  tons with an average grade of 0.33 ounces of gold per ton.      Syngold has earned a 20 pct interest in the Deka property  from the operator, Corp Falconbridge Copper.  "
livestock,"CANADA THREATENS BAN ON DANISH PIGMEAT IMPORTS  Canada has threatened to stop imports  of Danish pigmeat from July 14 after Canadian veterinary  inspectors approved only two of 33 slaughterhouses, a Danish  agriculture ministry official told Reuters.      The Canadians postponed the original July 1 deadline at the  request of the European Commission, which Denmark approached  for support.      Danish Foreign Minister Uffe Ellemann-Jensen said in an  interview with the daily Berlingske Tidende: ""Denmark will not  accept a ban on Danish meat exports, and I am sure we can reach  an understanding with the Canadians with the help of the EC.""      Danish pigmeat exports to Canada were worth 106 mln crowns  in 1986, while Canadian exports to the European Community  totalled about 6.5 billion U.S. Dlrs.      Some Danish slaughterhouse officials expressed suspicion  that the Canadian action was in response to tightening up by EC  veterinary inspectors on Canadian food exports to the EC.      But an official at the Canadian embassy in Copenhagen said  the inspection of Danish slaughterhouses was based on EC  regulations. ""Canadian officials are very concerned about the  trade implications. We are holding active discussions with the  EC and bilaterally,"" she added.  "
livestock,"CCC ACCEPTS EXPORT BONUS FOR CATTLE TO EGYPT  The U.S. Commodity Credit  Corporation (CCC) has accepted a bid for an export bonus to  cover a sale of 186 head of dairy cattle to Egypt, the U.S.  Agriculture Department said.      The department said the cattle are for delivery May 7-June  7, 1987, and the bonus awarded was 1,888.06 dlrs per head.      The bonus was made to First Interstate Trading Co and will  be paid to the exporter in the form of commodities from CCC  stocks, the department said.      An additional 7,959 head of dairy cattle are still  available to Egypt under the Export Enhancement Program  initiative announced September 12, 1986, it said.  "
nat-gas,"U.S ENERGY SECRETARY PROPOSES OIL TAX INCENTIVES  Energy Secretary John Herrington  said he will propose tax incentives to increase domestic oil  and natural gas exploration and production to the Reagan  Administration for consideration.      ""These options boost production, while avoiding the huge  costs associated with proposals like an oil import fee,""  Herrington told a House Energy subcommittee hearing. ""It is my  intention to submit these proposals to the domestic policy  council and the cabinet for consideration and review.""      He said proposals, including an increase in the oil  depletion allowance and repeal of the windfall profits tax,  should be revenue neutral and promote domestic production at  the least cost to the economy and the taxpayers.      ""The goal of the Administration policies is to increase  domestic production. I would like to shoot for one mln barrels  a year.""      The proposals were based on a DOE study released yesterday  warning the United States was threatened by a growing  dependence on oil imports.      ""We project free world dependence on Persian Gulf oil at 65  pct by 1995,"" Herrington said.      He said it was too soon to say what the Administration  policy on oil tax incentives would be and indicated there would  be opposition to tax changes.      ""Of course, to move forward with these kinds of options  would require reopening tax issues settled last year (in the  tax reform bill) -- an approach which has not, in general, been  favored by the administration. I think what we need is to  debate this within the Administration,"" he said.      He said the proposals might raise gasoline prices.      Herrington did not specifically confirm a report in today's  Washington Post that he had written to President Reagan urging  an increase in the oil depletion allowance.      Asked about the report by subcommittee members, Herrington  said various proposals were under consideration and would be  debated within the Administration to determine which would have  the most benefits at the least cost.  "
gold,"FRANCO NEVADA SAYS STOCK RISE DUE TO DRILLING  Franco Nevada Mining Corp Ltd said the  gain in its stock price today is related to deep drilling being  conducted by American Barrick Resources Corp at the Goldstrike  claims in the Carlin camp in northern Nevada.      Franco Nevada stock is up two at seven dlrs per share on  the Toronto Stock Exchange.      Franco Nevada said American Barrick announced on March nine  that the drilling indicated a number of significant  intersections of sulfide gold mineralization below a depth of  about 1,000 feet.      One vertical drill hole intersected gold continuously from  1,100 feet to 1,730 feet averaging 0.30 ounces per short ton,  the announcement said.  "
livestock,"MEATPACKERS RESPOND TO OCCIDENTAL&lt;OXY> OFFER  Local 222 of the United Food and  Commercial Workers Union said it is calling a membership  meeting, possibly Sunday, to discuss its response to a decision  by Iowa Beef Processors Inc to lift a lockout at its Dakota  City, Nebraska plant and resume operations.      The UFCWU will consider all options available to it  including a strike or returning to work under IBP's last labor  contract proposal, a spokeswoman for Local 222 said by phone.      About 2,800 UFCWU members have been locked out at the  Dakota City plant since December 14.      IBP is a subsidiary of Occidental Petroleum Corp.  "
livestock,"UNION VOTES TO STRIKE DAKOTA CITY IBP PLANT  The United Food and Commercial Workers  union, Local 222 said its members voted Sunday to strike the  Iowa Beef Processors Inc Dakota City, Neb., plant, effective  Tuesday.      The company said it submitted its latest offer to the union  at the same time announcing that on Tuesday it would end a  lockout that started December 14.      Union members unanimously rejected the latest company offer  that was submitted to the union late last week, UFCW union  spokesman Allen Zack said.  "
livestock,"CHINESE PORK OUTPUT SEEN LOWER -- USDA  High feed prices will cause the  Chinese to reduce hog herd growth and pork production this  year, the U.S. Agriculture Department said.      In its World Production and Trade Report, the department  said hog numbers at the start of 1987 were estimated at 331.6  mln head, up slightly from 1986, and 10 mln head above earlier  projections for 1987.      Pork production in 1986 was up 4.2 pct to 17.25 mln tonnes,  slightly below earlier estimates, it said.      For 1987, production is projected to fall to 17.05 mln  tonnes.      Feed prices at the end of January were reported 35 to 40  pct above year-ago levels, the department said.  "
nat-gas,"COASTAL &lt;CGP> SAYS TRANSAMERICAN SUIT FRIVOLOUS  Coastal Corp said it belives the two  billion dlr suit against it by &lt;TransAmerican Natural Gas Corp>  in Texas state court is frivolous and without merit.      The company said it intends toi proceed with filing a  reorganization plan for TransAmerican with the U.S. Bankruptcy  Court in Houston.      Yesterday afternoon, the bankruptcy court issued a  temporary restraining order prohibiting TransAmerican and  Coastal from taking any action in any court that would  interfere with the jurisdiction of the bankruptcy court.      Yesterday's bankruptcy court ruling affirmed Coastal's  rights as a TransAmerican creditor to file a reorganization  plan for TransAmerican.      TransAmerican's suit alleges that Coastla attempted to  unlawfully gain control of TransAmerican's Texas natural gas  reserves and pipeline system.      TransAmerican's bankruptcy proceedings began in 1983.  "
nat-gas,"BAKER HUGHES' &lt;BHI> U.S. RIG COUNT FALLS TO 758  The U.S. drilling rig count fell by four  last week to a total of 758, against 723 working rigs at this  time last year, Baker Hughes Inc said.      In Canada, the weekly rig count rose 19 to 100, compared to  46 working rigs last year.      Among individual states, the steepest declines were in  Oklahoma and Louisiana which lost eight and seven,  respectively. Drilling increases were reported by Michigan, up  by five rigs, and Ohio and Pennsylvania which each rose by  three. Baker Hughes said the total of 758 working rigs in the  United States included 84 rigs working in offshore waters.  "
gnp,"BONN SERIOUS ABOUT CURRENCY PACT, SAYS TIETMEYER  West Germany takes ""very seriously"" the  recent undertaking by major industrial countries to promote  exchange rate stability around current levels, Finance Ministry  State Secretary Hans Tietmeyer said.      Talking to journalists before a meeting of European  Community Economy and Finance Ministers here, Tietmeyer  declined to say whether the February 22 Paris accord by the  Group of Five countries plus Canada included secret agreements  for stabilising currencies.      But he noted the official communique said the participants  agreed to cooperate closely to foster stability of exchange  rates around current levels. ""We're taking this sentence very  seriously,"" he said.      Tietmeyer remarked that the dollar had hardly moved against  the mark since the meeting.      He said a slowdown in West German economic growth had been  caused by sharp exchange rate swings and that the Paris  agreement should help in this respect.      Economics Ministry State Secretary Otto Schlecht said the  Bonn government saw no current need for measures to bolster the  economy but was paying close attention to the slower growth and  had not ruled out ""appropriate and timely"" action if necessary.      Schlecht and Tietmeyer were speaking ahead of a discussion  by the EC ministers of the latest EC Commission report on the  economic situation in the 12-nation bloc.      The Commission has sharply revised down expected German  gross national product growth this year to two pct from 3.2 pct  predicted last autumn and says Bonn has the most room of any EC  country to stimulate economic activity.      Schlecht said the upturn in West Germany's economy slowed  in the fourth quarter of last year and the first quarter of  1987. But he said there was no cumulative downwards trend in  view that would make quick remedial action necessary.      He said a number of favourable indicators such as high  level of investment and a good climate for consumption meant a  recovery could be expected, while exports would pick up  slightly during the course of the year.  "
gold,"GEODOME SETS IDAHO GOLD/SILVER MINE CONSTRUCTION  Geodome Resources Ltd said  following receipt of a feasibility study from Raytheon Co's  Stearns Catalytic unit it will proceed with construction and  pre-production stripping at its Sunbeam Mine in Custer County,  Idaho, as quickly as possible.      The company said the study found proven ore reserves of  3,302,000 short tons grading 0.077 ounce of gold per ton. It  said the mine will operate at a rate of 626,000 tons of ore per  year, with higher-grade ore being mined in the first three  years for a rapid payback of capital costs.      It said the feasibility study calls for gold production  averaging 41,000 ounces a year for the life of the mine and  50,000 ounces a year over the first three years, with 99,000  ounces of silver per year being produced over the mine life.      Capital costs would be 22.3 mln dlrs with all-new equipment  and 500,000 to one mln dlrs less with used equipment, the firm  said. It said the mine would be operated by a contract miner  but the associated mill by Geodome.      Geodome said a new ore zone discovered last summer is not  included in reserve calculations. It said eight of the nine  holes drilled there have an average grade of 0.046 ounce of  gold and 2.1 ounces of silver per ton.      Also excluded are reserves of 1,400,000 tons of low-grade  material that could be milled profitably at 425 dlrs a ton for  gold. The feasibility study used a 350 dlr gold price.      Geodome said operating costs of the mine will average 201  dlr per ounce of gold for the mine life and 171 dlrs for the  first three years, in constant dollars.  "
gnp,"CANADA ECONOMY EXPECTED TO GROW MODERATELY  Canadian economic growth is expected to  slow further in 1987, but an improved the trade picture should  keep the country from recession, economists said.      ""The economy is ready for about a 2.0 pct rate of growth  over the course of 1987,"" said Carl Beigie, Chief Economist at  Dominion Securities Pitfield Ltd.      Statistics Canada reported that gross domestic product,  grew 3.1 pct in 1986, the fourth year of continuous expansion,  but down from 1985's four pct.      In the final quarter, GDP, in 1981 prices and at annualized  rates, rose a slight 0.2 pct after expanding 0.8 pct in the  third quarter.      ""Essentially it is a flat performance,"" said Warren Jestin,  deputy chief economist at the Bank of Nova Scotia.      Economist Wendy Smith Cork of the brokerage Nesbitt Thomson  Bongard Inc said ""it shows the economy is not moving along very  steadily, it's not a very promising number.""      ""We weren't surprised, we expected to see one bad quarter  in Canada, but we don't think there will be a recession,"" she  added.      The rise in GDP was below the 3.3 pct increase forecast by  Federal Finance Minister Michael Wilson in his budget last  month. He also projected the economy would expand  2.8 pct this  year.      Many economists are less optimistic, predicting growth will  likely be in the 2.0 to 2.2 pct range.      Statistics Canada also reported the country's trade  performance deteriorated sharply last year as the deficit in  the current account rose to a record 8.8 billion Canadian dlrs  from the previous year's shortfall of 584 mln dlrs.      ""The sharp increase in the deficit originated from  merchandise trade transactions where imports continued to  advance strongly whereas exports were virtually unchanged,"" the  federal agency said in a statement.      The merchandise trade surplus was pared to 10.13 billion  dlrs in 1986 from 17.48 billion dlrs in 1985.      But economist Cork said the expected upturn in the U.S.  economy will lead to increased demand for Canadian goods, and  help fuel the country's modest expansion. Nearly 80 pct of  Canada's exports are shipped to the U.S. each year.  "
gnp,"JAPAN PANEL URGES WORLD ECONOMIC ADJUSTMENTS  Japan could avoid a sharp rise in the  value of the yen against the dollar if Japan, the U.S. And  other nations succeeded in restructuring their economies, an  advisory panel to the government's Economic Planning Agency  (EPA) said.      The advisory body said in its report that the yen would  soar against the dollar if structural adjustments on a global  basis were delayed.      An EPA official told Reuters the dollar could fall to  slightly below 100 yen by 1993 if Japan and the U.S. Failed to  restructure their economies.      The dollar's fall without structural adjustments would cut  Japan's current account surplus to two pct of gross national  product (GNP) in 1993, the report said. It said such a change  would slow real GNP growth to an average of two pct annually  during the seven-year period to 1993.      If the two nations restructured their economies, the dollar  would remain stable in real terms, while reducing Japan's  current-account surplus to 2.1 pct of GNP in 1993. This  scenario put Japan's GNP growth at 3.5 pct a year.      It forecast real growth of three pct for the world economy  and four pct for Japan by 2,000 if the adjustments were made.  "
gnp,"JAPAN OCTOBER/DECEMBER GNP RISES 0.8 PCT  Japan's gross national product (GNP) rose  a real 0.8 pct in the October/December quarter after an  upwardly revised 0.7 pct increase the previous three months,  the Economic Planning Agency (EPA) said.      The rise in the July/September quarter had originally been  put at 0.6 pct. The annualized growth rate accelerated to 3.2  pct in October/December from 3.0 pct in July/September.      In the 1986 calendar year, GNP rose 2.5 pct, after a 4.7  pct increase in 1985. Last year's performance was the worst  since 1974, when GNP fell 1.4 pct. Agency officials blamed the  strong yen for depressing exports and manufacturing industry.      In nominal terms, GNP rose 0.5 pct in the October/December  quarter, reflecting stable prices, after a one pct increase in  the previous three months, the Agency said.      Domestic real demand increased 0.6 pct in October/December,  after a one pct rise the previous quarter.      Domestic demand contributed 0.5 percentage point to real  GNP growth in October/December, while foreign trade added 0.2.  The figures do not tally exactly due to rounding.      In July/September, domestic demand contributed one  percentage point to GNP growth while foreign trade knocked off  0.3 point.      Of the 0.2 point contribution of foreign trade to GNP last  quarter, falling exports knocked off 0.2 while falling imports  contributed 0.4 point.      Total export volume fell 1.2 pct quarter on quarter in  October/December. Imports also fell, by 2.9 pct.      Of the 0.5 point contribution of domestic demand to  October/December GNP growth, the private sector accounted for  0.4 point and the public sector, 0.2.      The private sector contribution included 0.3 point for  housebuilding, 0.4 for corporate capital outlays and 0.1 for  stockbuilding. Consumer spending had a 0.4 negative impact.  "
gold,"WESTERN MINING TO OPEN NEW GOLD MINE IN AUSTRALIA  Western Mining Corp Holdings Ltd  &lt;WMNG.S> (WMC) said it will establish a new joint venture gold  mine in the Northern Territory at a cost of about 21 mln dlrs.      The mine, to be known as the Goodall project, will be owned  60 pct by WMC and 40 pct by a local W.R. Grace and Co &lt;GRA>  unit. It is located 30 kms east of the Adelaide River at Mt.  Bundey, WMC said in a statement      It said the open-pit mine, with a conventional leach  treatment plant, is expected to produce about 50,000 ounces of  gold in its first year of production from mid-1988. Annual ore  capacity will be about 750,000 tonnes.  "
gnp,"GERMAN GNP FIGURES PUBLICATION DELAYED  Figures for first quarter 1987 West  German GNP will be published on June 11 after they were  provisionally scheduled for June 4, an official at the Federal  Statistics Office said.      The official said there had been a delay in gathering  information for the data, which are expected to show that the  West German economy contracted in the period.      A spokesman for the Economics Ministry in Bonn said there  was no political motivation behind publishing the figures on  June 11, the day after the Venice economic summit ends.      ""There is no political motivation. It is a purely technical  matter,"" he added.      The West German government is expected to come under  pressure in Venice from both the U.S. And its European partners  to stimulate domestic demand as a way of reducing international  trade imbalances and contributing to world economic growth.      However, government officials have ruled out any further  tax reduction packages to supplement a major program of  stimulatory fiscal measures already underway.      Helmut Schlesinger, vice-president of the West German  central bank, the Bundesbank, said in Tokyo today that GNP, the  widest measure of a country's economic activity, fell in real  terms by a seasonally adjusted 1/2 to one pct in the first  quarter compared with the fourth 1986 period.       The government has confirmed that growth was negative in  the first 1987 quarter. But year-on-year growth is expected to  be about two pct.      Schlesinger today repeated the Bundesbank's reluctance to  cut its official interest rates further. Its key discount rate,  at three pct, is just above historical lows.      West German officials are likely to emphasise at the Venice  summit that domestic demand, which draws in goods from abroad,  is already outstripping export performance, which has suffered  from an 80 pct rise of the mark against the dollar in just over  two years.      The government has pointed out that depressed exports are  the main reason for the current weakness in the economy, but  says that later in the year stronger domestic demand will  compensate for this setback.      It expects GNP growth for the whole of 1987 of just under  two pct, after a 2.4 pct rise in 1986.  "
gold,"GUNNAR GOLD IN VENTURE AGREEMENT  Gunnar Gold Inc said it and Mill City  Gold Inc signed an option and joint venture agreement with  Tyranex Gold Inc on the Tyranite gold property in Ontario.      Gunnar said it and Mill City can earn a 50 pct interest in  Tyranex's option to buy the Tyranite gold mine by spending up  to five mln dlrs on exploration, development, and feasibility  studies by 1990.      It said the companies may form a joint venture partnership  to bring the mine to full commercial production.  "
gnp,"U.K. GROWTH RATE SEEN AT THREE PCT THIS YEAR  Chancellor of the Exchequer Nigel  Lawson, presenting his budget for fiscal 1987/88 to parliament,  said U.K. Economic growth was forecast at three pct in calendar  1987.      He said the Treasury expected a current account balance of  payments deficit in 1987 of 2.5 billion stg, after a 1.1  billion shortfall in 1986. Inflation is expected to be 4.0 pct  at the end of 1987, he said, adding it may exceed 4.5 pct by  the summer before falling back to 4.0 pct by the end of the  year.      The planned PSBR for 1987/88 was 4.0 billion stg unchanged  when compared with the likely outturn for fiscal 1986/87,  Lawson said.      Although no explicit target was set for the broad sterling  M3 money supply, Lawson said broad money will continue to be  taken into account in assessing monetary conditions as well as  the exchange rate.      The low outturn of the PSBR in 1986/87 was mainly due to  the buoyancy of non-oil tax revenues in general, and the  corporation tax paid by an increasingly profitable business  sector in particular.      On oil prices, Lawson said he was sticking to his earlier  assumption that North Sea crude prices will average 15 dlrs per  barrel in calendar 1987. The treasury would strive to keep the  PSBR at 1.0 pct of GDP in future, he said.  "
gold,"CITY RESOURCES TO SELL GOLD PROPERTY STAKE  City Resources Ltd said it has agreed  in principle to sell a 50 pct interest in a group of mineral  properties in the southwest Pacific to a buyer it did not name  for 30 mln Canadian dlrs.      The company said a preliminary estimate of the geological  resources of one of the properties to a depth of 200 meters  indicates a potential of 1.2 mln ounces of gold, and by the  middle of 1987 it expects to establish proven ore reserves  containing at least 500,000 ounces of gold. Mining could start  in 1988, subject to a satisfactory feasibility study.      The company said completion of the transaction is subject  to regulatory and shareholder approvals.      City Resources is controlled by City Resources Ltd of  Australia.  "
nat-gas,"MALAYSIA SEEKS 42 BILLION YEN PIPELINE LOAN  Malaysia has asked Japan for a 42  billion yen 25-year loan to finance the construction of gas  pipelines from eastern Trengganu to southern Johor, the  Overseas Economic Cooperation Fund (OECF) said.      OECF's chief representative, Takashi Matsuya, told  reporters the Japanese Government is appraising the loan.  Another OECF official told Reuters Japan is likely to approve  the loan because ""it is technically and economically viable.""      If approved, the loan would carry a coupon rate of four  pct, a grace period of seven years, Matsuya said. It would be  disbursed over three years, he added.      The pipeline contruction is the second phase of the  Peninsular Gas Utilisation Project by Petronas, Malaysia's  national oil company.      The first phase was the supply of gas to households in and  around the eastern oil town of Kertih.  "
