,drugName,condition,review,rating,date,usefulCount
227136,Etonogestrel,Birth Control,"""I am 22 and I been on since I was 21, I havent had a period since I have been on, which is fine but my sex drive is out the window. Haven&#039;t had sex with my boyfriend in 6 weeks and we live together. I&#039;m just not in the mood AT ALL. Also I notice I have been dry and that has never been the case. Also a lot of weight gain and no matter how much I exercise it wont come off. I also feel like my feet keeps growing. Its perfect for effectiveness but its the price you pay so to each its own. Different bodies react different ways so my story may not be yours.""",8,24-May-14,29
32246,Lisinopril,Diabetic Kidney Disease,"""My GP Doctor changed  my blood pressure medicine from 5mg Amlodipine Besylate/50mg Metoprolol to 5mg Lisinopril/50mg Metoprolol to protect my kidneys.  Over a forty day period my Lisinopril dosage was increased in stages from 5mg to 40mg in an attempt to get the same BP results I had with Amlodipine.  Prior to taking Lisinopril my blood pressure was around 135/75.  As the amount of Lisinopril was increased my blood pressure kept increasing. After 40 days it was around 175/85 (maximum 200/100).  I take my blood pressure 3 -4 times per day.   I experienced increased confusion, tiredness, dizziness, weakness and constipation as the dosage of Lisinopril was increased. I went back on Amlodipine and made an appointment with my Cardiologist.""",1,7-Jul-17,3
80198,Benzonatate,Cough,"""THIS medicine works.""",10,30-Sep-09,21
115012,Diazepam,Meniere's Disease,"""I&#039;ve suffered with Meniere&#039;s/vestibular neuritis for over 37 years and it has cast a dark shadow over my quality of life.  The only medicine that has helped me to live with the episodes (loss of balance, vertigo, dis-equilibrium) has been valium.  Because valium suppresses the central nervous system, it helps me to cope.""",10,14-Nov-15,52
159489,Ayr Saline Nasal,Nasal Congestion,"""swelling of tissue above eyelids""",4,11-Sep-16,1
121298,Venlafaxine,Depression,"""Horrible side effects! I tried Ciprelex (escitalopram), but made me so tried all the time. My doc switched me to Pristiq (desvenlafaxine), I had 0 side effects, but I couldn&#039;t afford the $105 price each month without a generic brand or drug plan. Doc switched me to Effexor claiming it was &quot;very similar to Pristiq, and available in a generic&quot; however I had the WORST insomnia at night. Trouble falling and staying asleep at night- would wake up every hour with mind racing. Dry mouth throughout the day no matter how much water I drank. Also, very fidgety feet and legs while sitting or laying in bed. I was exhausted all day everyday, yet continued waking up several times throughout the night. Went back to my doc, and switched back to Pristiq.""",1,15-Jun-16,24
217603,Clarithromycin,Pneumonia,"""Was one of the only medicines that worked for my pneumonia. It was administered via IV for 3 weeks 2x a day but it worked.""",9,26-Feb-11,20
137706,Enbrel,Psoriatic Arthritis,"""I have been on Enbrel for 15 years and it has been a life changer.  I was literally pain free.  Until about a year ago, shortly have the injection I started feeling nauseous, thought maybe it was something I ate but I have since tracked it and every single time to give myself an injection I get nauseated and it lasts for about 36 hours.  Has something in the formula of Enbrel changed??  I&#039;ll take being nauseated any day over the pain.""",8,19-Sep-16,11
15765,Ethinyl estradiol / norethindrone,Birth Control,"""I went on this pill when I got into my first serious relationship.  I&#039;ve tried other birth control pills before and had to go off of them because of weight gain. When I finally got back on the pills, I thought it was great because my periods were always regular, I had no weight gain, and my skin was flawless.  But, after being on it for 6 months now I&#039;m realizing that this pill is the reason for my poor mental health.  I went from being happy and satisfied with my life, to being an actual crazy person.  I started lashing out at the people I loved as the months progressed. I would have the worst mood swings of my life.  I would be happy and laughing, and the next minute I was in tears.  It turned me into an angry person that I didn&#039;t know.""",3,26-Sep-16,0
24509,Polyethylene glycol 3350 with electrolytes,Bowel Preparation,"""My colonoscopy was booked in for late afternoon on a Thursday. The hospital said to stop eating anything from 1pm on the Wednesday and recommended (giving some detail) a non fibre diet from Tuesday evening until Wednesday noon - avoiding dark drinks and jelly (like blackcurrant flavour). Avoid red meat, sausages and pies; fruit, vegetables and salad; potato skins or fries, wholemeal or brown bread; nuts, pulses, baked beans; wholemeal pasta, brown rice; puddings containing fruit or nuts; cakes and biscuits, yoghurts. Preferred are white skinless meat like chicken, grilled or poached fish, cheese, eggs; white bread, pasta, rice; boiled or mashed potatoes, water, fizzy drinks, fruit squash (not blackcurrant), clear soups, tea or coffee, shredless marmalade or jam, ice cream, custard, clear jelly, butter, margarine. 

The hospital also instructed me to start taking Moviprep, one packet (A + B) at 7pm Wednesday evening; and then another packet (A+B) starting from 6am Thursday. On each occasion I was told to drink the mixture at 250ml a time over 1 to 2 hours. On each occasion I was also to take 500ml of clear water AND to take some sugary drinks to maintain blood sugar levels &ndash; non-diet carbonated drinks i.e. Coca Cola, Lucozade, or ginger ale, any other clear sugary fluids such as clear apple juice (but NOT other fruit juices); water alone not being sufficient. A spoonful of honey is suggested if sugary drinks are not liked.

On Wednesday evening I mixed the two Moviprep packets (A + B) with 1 litre of water in a large jug. It tasted mildly of lemon but, because of warnings about taste, I downed each 250ml in seconds (rather than sip it) so as not to have to agonise over the taste. Starting at 7am the fourth dose was finished at 8pm. The drug started having an effect at about 7.45pm and thereafter it was a matter of getting to the lavatory frequently and quickly for about 3 to 4 hours. I went to bed at midnight but had to get up again at 2am and two more occasions up to 4am; though not in so much of a hurry. I took the 500ml of water after the final dose and about 250ml of Lucozade after that.  I was also told to use, what we in the UK, call vaseline to prevent soreness of skin on the buttocks. This I did not do but regretted it. Just before midnight I was so sore that I did apply some vaseline ready for Thursday morning and it paid dividends. 

On Thursday morning I went through the same procedure again applying the vaseline again before starting. This time the emissions were yellow and eventually pretty clear. Also the emissions pretty much (though not entirely) finished by 8am, much quicker than the night before. I can only assume there was nothing left to eject. All in all it was not a pleasant chore but a fair price to pay to get the job done.""",10,17-Mar-16,42
107693,Implanon,Birth Control,"""I&#039;m 18 and I got my Implanon inserted about a month ago. I got my period which was 4-5 days long. It was very light and I had no pains. This was great for me as I usually suffer with heavy, VERY painful periods but the downside to this is I have been getting very emotional and moody lately. I&#039;m hoping this will wear off soon as it can get in the way of things but I still have a long way to go so hopefully it will all work out for the best.""",5,5-May-10,1
50635,Gabapentin,Pain,"""I have a bulging disc and low back that has displaced nerves.  I live with pain everyday due to fibromyalgia and arthritis, but this back pain is off the charts. Nothing helped.  Just started Neurontin this week.  Makes me feel a little tired, but tends to keep me awake.  So far it has knocked pain down to a level I can live with. If take pain medicine with it, don&#039;t feel any pain.  Am noticing my hands feel swollen hope it doesn&#039;t get worse as I tend to have the rare side effects on any medicine I take.""",9,9-May-10,37
33395,Microgestin Fe 1 / 20,Birth Control,"""I switched to FE 1/20 from Sprintec birth control and it&#039;s been nothing but hell. I don&#039;t know if it&#039;s my body that&#039;s reacting so negatively or what but I hate this birth control. It hasn&#039;t even been a full month and I&#039;m already on the urge of losing my mind. I&#039;ve been crying almost everyday, snapping at people feeling depressed and hated..it&#039;s unreal. I&#039;ve never been so sad in my life. My headache also gotten much worse than before. The only positive is it made my boobs bigger and period lighter.""",2,21-Oct-15,3
133845,Restasis,Keratoconjunctivitis Sicca,"""When I see the commercial for Restasis on television, the lady who is on the commercial looks scary.  Her eyes look so unnatural.  She is staring like some zombie.  I would not even try this just because of her zombie eyes.  Either fix that or find someone else who does not look like zombie on TV.""",1,6-Oct-15,31
4554,Belviq,Weight Loss,"""I&#039;ve been taking it for about 6 weeks. I&#039;ve lost 7 lbs so fast.  The fatigue is awful though.  Yes,  I&#039;m finally sleeping all night,  but I&#039;m still tired all day.  I&#039;m going to continue to take it as long as I keep seeing the weight drop. It&#039;s not going to make you drop 10 lbs a week. You also have to be in the right mindset to be ready to eat better also.""",7,30-Mar-16,25
214067,Tioconazole,Vaginal Yeast Infection,"""This needs to come with a warning on the box! I&#039;m on fire as I speak...After 30min I felt a itching THEN BURNING . PLEASE DONT BUY THIS PRODUCT HELPPPP SOSOMEONE This is taking place right now 4/23/16""",1,24-Apr-16,5
188073,Symbyax,Bipolar Disorde,"""This medicine worked for me except the side effect of swelling feet and ankles, and pain in the ankles. I stopped the medicine on my own due to the swelling.""",7,28-Dec-08,17
118748,Zoloft,Depression,"""Depression and anxiety hit me like a brick wall about six months ago. I have always had a bit of anxiety, but nothing like recently. My psychiatrist prescribed Zoloft and the side effects were unbearable. My mood became much worse, threw up, more suicidal, etc. I only took it for two days. I am so happy this works for certain people. Depression and anxiety is pure torture.""",1,16-Nov-12,44
118795,Zoloft,Obsessive Compulsive Disorde,"""I suffer from OCD and intrusive/compulsive thoughts that create almost unbearable anxiety. In Oct &#039;11, I was prescribed Zoloft and found it to work incredibly. On 100mg, my OCD is 85-90% gone, and I can easily rationalize and even blow off my intrusive/compulsive thoughts about 95% of the time. I felt better within a week, but it did take 3-4 weeks for me to notice its full effect. I&#039;d describe the feeling it gives as light, airy and happy/drifty. I haven&#039;t experienced any side effects, and haven&#039;t gained any weight. On a side note, I also found that one huge factor contributing to my anxiety is too much caffeine, even when taking Zoloft (I still have one cup of coffee to wake up in the morning, but I&#039;ve found that&#039;s my strict limit).""",9,1-Mar-12,90
168672,Vilazodone,Major Depressive Disorde,"""My doctor weaned me off of Fetzima and onto this drug from hell.  The loose bowels are very annoying (I had two feet of my colon removed 8 years ago so perhaps I am super-sensitive.  I&#039;ll start taking Pepto Bismol or something, .see if that helps.  I .have every side effect.  I am mean, nasty, aggressive:  you name it, I have it.  The good side is I am sleeping much better than I have for 50 years, and I have a bit of energy which I love.  But my depression is hideous.  Because I have had some improvement, the doctor says stay the course; I&#039;ll feel better in three more weeks.  We shall see""",3,22-Apr-16,15
24298,Tretinoin,Acne,"""This medication is extremely effective when used properly. I developed whiteheads on my cheeks and had rather large pores on my nose with blackheads. I have been using the medication for a total of six months now. Initially, I had some redness, moderate peeling, and some slight burning right after applying the medication. After about three weeks, the side effects subsided and I started to notice my skin clearing, pore size minimizing, and an overall evening of complexion. I used Phisoderm Deep Cleansing face wash morning and night and then used Neutrogena Oil-free moisturizer with SPF 15 in the morning. My face is very oily so I did not experience much dryness.""",8,31-Oct-08,68
46619,Gleevec,Chronic Myelogenous Leukemia,"""I&#039;ve been taking Gleevec for a year now, at first I was very tired but now I&#039;m taking a multivitamin but I&#039;ve notice that my skin coloring has changed.  I&#039;m concerned a brown skin woman but now my skin has lighten so much until I&#039;m wearing makeup for very light skin women some days I have very little color and I look almost white.  My doctor hasn&#039;t seen this before he said usually patients become darker.""",10,12-Sep-14,5
186587,Desvenlafaxine,Depression,"""I&#039;ve been dealing with depression for a few years recently it had gotten so bad that suicidal thoughts and social withdrawal were really concerning me.  I tried to fight it naturally by taking Super B Complex but to no avail.  Within the last month and a half I&#039;ve tried Lexapro which did not work for me and now Pristiq which I must say is really helping me.  I&#039;m finally having sex again with my husband.  I didn&#039;t know that it was depression that was hindering me and having an orgasm is not a problem at all.  In fact I&#039;ve become quite frisky.  A lot more talkative and beginning to get together with friends again without as much anxiety.  Anxiety is not completely gone yet but it&#039;s only been two weeks.  Loving it!""",7,30-Dec-09,175
98320,Nexplanon,Birth Control,"""Having extreme lower back pain since having the nexplanon inserted. The pain is on the side left side where the nexplanon was inserted (left upper inner arm). Is anyone else experiencing this?""",9,31-Mar-15,0
156401,Ropinirole,Restless Legs Syndrome,"""I have taken Requip for about 4 to 5 years now.  I started on the dose pack and first leveled out at 1mg.  I found if I took 2 1mg tablets I would dry heave.  It finally got where 1 mg wasn&#039;t doing enough and so I started on the 2mg XL but due to absorption issues after gastric bypass I didn&#039;t get the full effect. I am now taking 2mg 2 - 3 times a day with surprisingly no side effect.""",10,13-Jun-11,4
195537,Aviane,Birth Control,"""I started taking Aviane when I was 16 1/2 and I&#039;ve been on it ever since. I&#039;m now 21 and about to discontinue my use of Aviane. It caused me to be emotional almost all the time, I have very little patience, moods swings, I gained weight, it&#039;s tough to lose weight, I have constant headaches and my acne is horrible to the point of scarring. Since I was taking this birth control through the toughest of teenage years, I just thought this was who I became. But after doing research and finding this website, I now know I&#039;m not the only one who has suffered through taking Aviane. It did its job with preventing pregnancy, but didn&#039;t help with my heavy period and painful cramps. I&#039;m finishing my current pack and it&#039;ll be my last.""",3,5-Oct-15,4
230361,Depo-Provera,Endometriosis,"""I&#039;ve only had one shot so far, but it has now been almost two months since I got the shot. I heard good things about this shot, and I was hoping it would take care of my really severe cramps! I skipped my period the month after I got the shot, but then the month after that, it came back. I would say my period is a lot lighter now, but it has lasted twice as long as it normally does. My cramps have been better, as they are now tolerable. But, they are still there. I have noticed a really big change in mood swings and emotions. I get in cranky moods WAY more often. At least once a day. I also have noticed that I cry super easily now, even over little things. Again though, it has only been two months. Maybe things will start to get better.""",7,24-Mar-14,40
106078,Gabapentin,Anxiety,"""Ok,   its funny i found this page because  its perfect for what I want to say.  I&#039;m Diabetic and my foot doc gave me Gabapnetin for the pain  and burning sensation in my feet.   He gave me 300 mg and to take it 3 times daily.    But I admit I now take 1500  mg at one shot in the morning.  ( He said I can take more than what he gave me but he didn&#039;t get a chance to give me a new script.   Anyway,   it helps with my feet maybe 65%   or so but  don&#039;t care what anyone says   no slurring, no falling a sleep or nodding out etc...)   Its great and EFFECTIVE...""",8,9-May-16,66
104260,Ethinyl estradiol / levonorgestrel,Birth Control,"""This is the first and only birth control medication I&#039;ve been on. I&#039;ve been taking it a little over 2 years now. I&#039;ve had no side-effects besides EXTREMELY low sex drive. I&#039;ve never had a particularly high sex drive but now it&#039;s nonexistent. I haven&#039;t had any of the headaches or mood swings. There was a mild increase in my acne but I&#039;m also a college student so I don&#039;t particularly lay all the blame on the pill. Overall, it does it&#039;s job but I would caution potential takers with low libido.""",8,5-Nov-12,8
17953,Ethinyl estradiol / etonogestrel,Birth Control,"""The first month was bad. Breakthough bleeding.. cramping and bloating.. mood swings. But the second month was perfectly fine. I&#039;m going onto my 3rd month now. Once my body got used to it everything was perfect. I love not having to remember to take a pill each day! This is so easy!""",9,25-Dec-12,3
83706,Clomiphene,emale Infertility,"""My experience with Clomid has been wonderful. It really works. Just last month I was prescribed 50mg of Clomid after trying to conceive for over a year with PCOS and had taken Metformin up to 2,000mg a day. Just last week I got a positive on two home pregnancy test and a positive on a lab blood draw. Baby dust to all :) Don&#039;t stop believing.""",10,16-Jun-15,171
117213,Clotrimazole,Oral Thrush,"""I took 2 rounds of Mycelex Troche lozenges, 10 days each, 5 lozenges per day. I still have a raw area on inside of lower lip and do not feel &quot;cured.&quot; I am going to ask my Doctor to try Diflucan next. I take a probiotic daily, a multi-vitamin and eat yogurt, yet this has never resolved.""",2,30-Jan-16,8
29210,Topiramate,Migraine Prevention,"""My boyfriend of 8 years took this medication for migraine for a year and ahalf. It was great for his migraine but hell on his personality and character as a person. This medication made him confused, unable to make decisions, angry because he was confused. He became argumentative with me , coworkers, and family members. Every task he took on was filled with confusion and his ego. In 8 years I never seen him be so cold ..he was not the same person. I thought his behaviour was cause from some other medicine so I convince him to stop. Then the behaviour continued..after reading on this medicine I convince him to drop it. It had been 3 weeks since he took the medication and it&#039;s like night and day.  He is slowly returning to the man I know.""",6,21-Sep-16,9
145099,Etonogestrel,Birth Control,"""This implanon has been the worst birth control I have taken. I&#039;ve had terrible breakouts, non stop spotting , loss of libido , and it&#039;s causing me to get agitated over ever my little thing. This birth control has caused me to fight with my boyfriend every single day and has slowly been pushing us apart. I&#039;m ready to get this thing the hell out of me.""",1,8-Nov-15,9
96970,Ambien,Insomnia,"""I have been prescribed Ambien for 3 years now, I used to take Xanax along with it so I never truly got to experience the hypnotic effects of Ambien on its own. Now I take it by itself and its a powerful medication. It can cause my appetite to get out of control, also  I had a major problem when I drank alcohol with it . My parents came home to find me, putting all my clothes in a suitcase I found somewhere in the house, a loaf of sliced bread spread all over the house and the yard, and me yelling at them for making my friends leave the game early, what the hell I was doing or talking about I still have no idea. So yes, don&#039;t drink and take Ambien in the course of a night because it leads to some bizarre activities. But all in all as a sleep aid it&#039;s great.""",10,14-Nov-15,14
37351,Vyvanse,ADHD,"""56 yrs old. Tried Ritilin 15 years ago but stopped halway thru my first prescription because there was an edginess for me. 
I&#039;ve experienced too many jobs and excuses since then so i&#039;ve just started on Vyvance. Its just four days but my mind is focussed, not hyper just comfortably clear. I&#039;m very happy to be so productive. Eating well, sleeping well. I will add an update in a month.""",8,6-Jul-15,36
164015,Fluorouracil,Actinic Keratosis,"""On day 17 of 25 day Efudex fluorouracil 5% cream treatment on entire face, once a day, in the morning.  Redness started on day 5 and now I am very red, face feels tight and dry.  Some slight itchiness but not too uncomfortable. Bottom lip feels chapped. Face looks awful.  Use cortisone cream at night.  Fair skin, never tan, only sunburn.""",10,18-Oct-16,10
99363,Genvoya,HIV Infection,"""Ok this is my third review. I can say nothing more that thanks god and new advance medicines. I am in the 3 month and I could not be happier.  Energy levels back to normal. I feel great. No side effects and my labs are great. My doctor forgot to tell me the numbers but from 300000 copies to undetectable I don&rsquo;t know my cd4 but my doctor was so pleased that he informed me you only have to come every 6 months so my next appointment February 2018 I feel human again and I keep forgetting I am HIV positive. Good attitude and awesome times ahead I am 40 very happy""",10,24-Sep-17,3
72178,Tramadol,Pain,"""Just recently prescribed Tramadol 50 mg and it has been the miracle medicine for my osteoarthritis pain.  The very first dose &amp; I was able to move without any issues.  I am only 42 yrs old and fear being crippled due to this nasty disease.  I am hoping this medicine will continue to work for me.  Hydrocodone 5-325 just wasn&#039;t cutting it for me anymore, needed something stronger as the pain was getting truly unbearable.  I would recommend others to try it.  I&#039;ve read a lot of reviews and have seen mixed reviews but for the most part others are happy with the results like myself.""",9,1-Aug-14,73
190911,Tessalon Perles,Cough,"""I was hesitant to take this, but a persistent cough and chronic bronchitis that was well into week 9 left me little choice.  I am typically sensitive to most medications.  Especially stimulants which is why I was so hesitant.  However - I noticed a near immediate suppression of my coughing attacks which would leave me breathless and gasping to the point I was almost vomitting.  It took about 30 mins but I noticed it, and will be taking this again in the future if I have an option to!""",9,4-Jan-15,63
140329,Asenapine,Bipolar Disorde,"""Last night was my first time to take Saphris. I woke up in a great mood, I&#039;m not moody at all. It seems to be working but it&#039;s only been one day. I have tried every kind of medicine out there and nothing has worked so hopefully this one will. I had no hang over this morning I feel great. I haven&#039;t felt like this in years. Thank you to the makers of this medicine. It seems to work!""",10,24-Jun-11,11
112356,Gabapentin,Anxiety,"""I was prescribed this for Anxiety never should have had such strong medication for that as it controls seizures and brain injurys. My physical health&amp; nerves were fine before this. Nuerontin destroyed the nerves in my hands&amp; feet&amp; gave me Peripheral&amp; Axonal Neuropathy. Ironically its used to treat these nerve conditions but because my nerves were fine before taking it,It did the opposite and destroyed the nerves in my hands&amp; feet destroying my life. Have been disabled 8 yrs for trusting my Dr and the damage is irreversable. Drs shouldn&#039;t use patientz as guinea pigs and pharmaceutical companies should not  e allowed to give medication not intended for medical conditions.I have lost 8 yrs of my life due to this medication and am not diabetic.""",1,24-Nov-16,40
51992,Adipex-P,Weight Loss,"""I started taking Adipex 37.5 on May 29th, my first time taking this medication but I can&#039;t seem to lose any of my weight gained from my second pregnancy. I tried dieting, exercising and nothing happened. My current weight when I started was 248 and the first day taking this I felt like If I started moving I wouldn&#039;t be able to stop. The energy it provides was amazing. So far the only side effects I&#039;ve had was dry mouth. Starting to get a little constipated but I knew that was a possibility so I&#039;m prepared for it.  I weighed myself today and I&#039;m down to 241. I haven&#039;t changed my eating habits and I try to stay active for at least 30 minutes a day. I&#039;m hoping to lose between 50-70lbs.""",8,3-Jun-15,37
104100,Ethinyl estradiol / levonorgestrel,Birth Control,"""I&#039;m 18 and this is my first time being on birth control so when I read all the horrible reviews on Lutera I was really worried. But it&#039;s been about a week now and I can definitely say that I love it so far! Haven&#039;t had any side effects besides really bad nausea on the second day of the pill. But everything was fine after that. Haven&#039;t experienced any mood swings, decrease in sex drive. I&#039;ve noticed that my appetite did increase just a little and my breasts have been more tender than usual.""",10,2-Oct-13,5
207893,Suprep Bowel Prep Kit,Bowel Preparation,"""Overall experience is ok. My mix: refrigerated suprep, slightly chilled water, ginger ale. Drink as fast as you can.  After gulping down as much as you can simply suck on a lemon to get rid of the taste.  Continue process and it&#039;ll be over quickly.  The second bottle in the morning is tougher.  Might be because your stomach is not expanded and chugging the solution plus two more 16oz bottles of water is really filling.  It started working for me 20min after drinking.  Be sure to get wet wipes.  BTW there&#039;s no pain with the bathroom part of it, not like an upset stomach, it takes surprisingly little effort for the bowel movement.  Good luck""",8,23-Jul-15,15
214843,Prenatal Plus,Vitamin/Mineral Supplementation during Pregnancy/Lactation,"""I must admit there were times I was constipated but take into consideration that constipation is NORMAL during pregnancy! This prenatal is one of the best in my opinion and at 27 weeks my healthy baby girl is kicking like there&#039;s no tomorrow! No problems thus far, just a healthy baby and pregnancy to show for it.""",10,4-Oct-11,19
167823,Keflex,Bacterial Infection,"""I took it for a bacteria in my urine and right now I have no more pressure when I have to pee and no more smell in the urine. I am happy again. Thanks Keflex""",9,26-Mar-15,58
22756,Vitamin D2,Vitamin D Deficiency,"""After years of chronic pain and depression that responded to nothing I finally asked for a Vitamin D blood test. BINGO. Low normal is 40 - I was a 4. After 8 weeks of once a week doses of 50,000 units, and a daily dose of 2000 units, I am feeling better than I have in years! I live in AZ - low D can happen anywhere!""",10,18-Oct-09,150
17131,Flexeril,Sciatica,"""I have taken this medcation for years. When my sciatica acts up, I take two and Aleve and go to bed, within a few hours I start feeling better.  It is not a pain killer--it is a muscle relaxer.""",9,24-Dec-12,101
126217,Viibryd,Depression,"""I have had major depression or Treatment-resistant depression for 19 years. I have tried every medication.  I have tried every combination of medications and coming up in September I will have had done ECT for three years.  I started Viibryd 5 weeks ago and it has been amazing I feel like I am living, which is really strange to say! I feel like I have a future and I and so excited about it! It is to early to say if this medication will continue working for me but I really hope it does and it is an incredible feeling.""",10,20-Apr-12,70
71206,Lysteda,Menstrual Disorders,"""I can sleep through the night. No more getting up twice to just let it all out and clean up the mess. No more running to the bathroom every two hours because I&#039;m leaking through. I love this.""",10,12-Jul-13,117
29756,Topiramate,Migraine Prevention,"""If I had to base my rating on migraine prevention alone I would have to rate it a 10. My migraines were pretty much none existent while on Topamax. HOWEVER, I had extreme side effects: taste change, extreme mood &amp; behavior change, tingling fingers/toes/lips, dizziness, vomiting, and increased eye pressure. I had to be taken off of it and put on Elavil. Like I said, as far as the migraine prevention it was perfect but it came with a price that my doctor and I thought was not worth it.""",4,28-Nov-09,14
194346,Omnicef,Otitis Media,"""My 11 month old was treated with Omnicef for ear infection but it did not work.  No side effects, just ineffective for her.""",1,13-Apr-09,11
175354,Augmentin,Skin or Soft Tissue Infection,"""This med was given as a result of a deep gouge from a dog nail. Healing was not occurring after 4 weeks including a trip to a ambulatory care. My doc said they treated it incorrectly. He prescribed this. I have an appointment at the wound center Tues.  Dr also said it needed debriding. After 5 days I see no improvement. If anything the area is more red and sore.""",2,3-Sep-17,1
191287,Pentasa,Crohn's Disease,"""I had surgery removing 6&quot; of my small intestines. In Dec. 2013 was diagnosed with Crohn&#039;s disease, I have been taking Pentasa for about 3 months, since Jan. 2014. It has really helped me but I am losing handfuls of hair every day. I am also having dizzy spells. The hardest side effect to deal with is, every time I have a bowel movement, I have terrible itching inside my rectum. Otherwise I haven&#039;t noticed any other side effects yet.""",10,11-Mar-14,6
70362,Zofran,Nausea/Vomiting,"""i was prescribed to this medicine for morning sickness. I never vomit but always feel nauseated. It only works for me sometimes. Sometimes I feel like a million bucks..other times its like I didnt even take any medicine""",7,21-Feb-10,15
103669,Kapidex,GERD,"""I had a severe allergic reaction to this medication. Hives on the trunk of my body. The palms of my hands and the soles of my feet had severe itching.  The itching was also in my throat and ears.""",1,10-Jun-09,21
219262,Serzone,Depression,"""I started taking this drug for chronic daily headaches in 1999.  Turns out they were caused by stress &amp; serious depression.  The Serzone was a miracle drug for me!  I saw the world so much more clearly and without the negative lens.  My headaches were gone (turns out it actually has a patent for preventing migraines!).  I was on it for 8 years until I moved to a new city and had trouble finding doctors to write for it.  So I was off it the last two years, and my doctor had me on awful Depakote instead.  I hated it!  I found a doctor this week to put me back on Nefazodone (Serzone).  I look forward to ramping up the dosage and feeling alive again!  It was a great drug for me without sexual side effects, which is important to many men.""",10,17-Dec-09,59
85190,Ethinyl estradiol / norgestimate,Birth Control,"""This pill did horrible things to me. I felt nauseous constantly and experienced severe anxiety. So much so, that I could not leave the house without crying. I was depressed and gained 8 pounds. All of this in less than a few months. I finally went off Tri Sprintec when I realized that it was causing me these side effects. Absolutely terrifying experience.""",9,31-Aug-15,10
201089,Zoloft,Depression,"""I&#039;ve been all over the place in my head. It calms me down some but not a lot. Plus I&#039;ve been gaining weight, I&#039;ve been sick, headaches, itchy, and so much other stuff.""",4,25-Jan-17,16
20355,Hyoscyamine / methenamine / methylene blue / phenyl salicylate,Urinary Tract Infection,"""I have interstitial cystitis have taken hyophen on three separate occasions (1-4 days at a time) and it only helped once.  My bladder felt painfully full even immediately after urinating and it helped  the second time I took it for a few days before my bladder calmed down.  The other two times it did nothing.  Very similar symptoms but no relief.  I don&#039;t understand and just want some help.""",2,4-Nov-17,0
161518,Diphenhydramine,Insomnia,"""This is pretty much ineffective for me.  I lay in bed for over an hour trying to sleep and if I do happen to fall asleep I wake up many times throughout the night.  I guess I need something stronger.""",3,11-Feb-09,14
34603,Minocycline,Rheumatoid Arthritis,"""A week into taking this medication I was vomiting, couldn&#039;t sleep, dizzy, water blisters, falling, sense of daydreaming""",4,20-Mar-17,2
187531,Monistat 3-Day Combination Pack,Vaginal Yeast Infection,"""I&#039;ve used this product before, I always get yeast infections when I have to take antibiotics, but OH MY GOSH!!!! MY VAGINA IS ON FIRE I SWEAR, I cried for an hour and screamed into my pillow. I can&#039;t sleep and I have an ice pack between my legs. My stomach hurts so bad!!! This is worst then the yeast infection it&#039;s self. I really hope it works, I also hope this melatonin kicks in soon so I can just pass out. I should have just gone to the doctor because I&#039;m in so much pain.""",2,29-Mar-16,5
211618,Pitocin,Labor Induction,"""They used Pitocin to induce all of my three labors.  It was effective right away...I dilated very quickly and experienced no side effects.  Very happy with it!""",10,15-Aug-14,16
130982,Levonorgestrel,Birth Control,"""I have had this for about 5 months now.. I had NO IDEA others were going through the same things I am... I am tired, moody and have gained about 25 lbs.. I have been working out more and couldn&#039;t figure out what was going on until now. I am dry during sex, not in the mood most of the time. Acne has been pretty bad, didn&#039;t know why that was either (don&#039;t usually have acne). For a few weeks now my body feels like it is pregnant. The moods, tired, etc.... but all tests say not pregnant. It makes me uncomfortable to have so many things going on.""",1,7-May-10,470
69918,Pyridostigmine,Myasthenia Gravis,"""I&#039;ve been taking this medicine for about a year and half and it works.  When it starts to wear off the weakness comes back. I&#039;m happy to put up with a few of the side effects.""",8,12-Jun-11,20
187562,Naprosyn,Back Pain,"""Made a big difference in my hip and knee pain""",9,28-Aug-12,30
188119,Elocon,Psoriasis,"""I have had psoriasis for 17  years and have had many visits to the specialist. Although my psoriasis is not what they class as severe it effects my world in a severe way as it is on visual parts of my body that are difficult to hide (especially in summer). Elocon was the first ointment to take the red appearance from the psoriasis and also make some areas look normal again. It has lost its inflammatory appearance and is lessoning in size. I would highly recommend others to give it a go. """,8,2-Oct-08,38
116135,Clindamycin,Skin or Soft Tissue Infection,"""I have an abscess on my jaw and I&#039;ve been on clindamycin for 3 days(450 mg 3x per day) the abscess was originally about 2&quot;x2&quot; and just under my skin. I have been using hot packs as well as following my prescribed dose of clindamycin and in 3 days time most of the swelling has gone down and the abscess is bout half of the size of originally was. I&#039;m only giving it an 8 because I haven&#039;t finished the 7 day script yet but I&#039;m hoping things will continue to heal up and go down and will be mostly or all the way gone but so far it seems the clindamycin is working well for me.""",8,9-Jan-17,8
134925,Pazopanib,Soft Tissue Sarcoma,"""I was diagnosed with stage 4 Leiomyosarcoma 7/16/2013. Tumors in my stomach, liver, and a few affected lymph nodes. Had surgery and removed 40% of my stomach on 8/30/13. Surgery was a success. I Underwent 4 1/2 months of chemo with minimal shrinkage to existing tumors but did stunt the growth of the tumors. At that point my tumors were considered inoperable. Started Votrient  2/14, just found out my tumors have shrunk enough on my liver to be operable. Liver Surgery scheduled 10/14. So happy, praying Votrient is our miracle. Good luck to others with my condition.""",10,26-Sep-14,61
